Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
18-24,Expat – Western,Employed,"Below 10,000",8591,Renter,Unlikely,"1,000,000–2,000,000",1172948,Apartment,"Jumeirah Village Circle,Dubai Marina",Rental income,"Property portals,Agents,Company recommendations",Somewhat important,"Price per sq.ft,Rental yield",Gym,More than 3 months,Too many listings,No,Somewhat,No,Daily,Self,Online photos only,No,3,Yes
45-54,Expat – Asian,Student,"10,000–20,000",13463,Investor,Likely,"Below 500,000",507720,Villa/Townhouse,Jumeirah Village Circle,Self-use,"Other,Property portals",Very important,"Location,Other,Rental yield","Gym,School nearby,Close to metro",2–4 weeks,Confusing legal process,No,Somewhat,No,Daily,Online reviews,Agent video call,Maybe,5,No
35-44,UAE National,Self-employed,"20,000–40,000",18626,Investor,Likely,"500,000–1,000,000",987599,Apartment,Other,Rental income,Agents,Not very important,"Mortgage eligibility,Resale value",Swimming pool,1–2 weeks,Lack of analytics/data,No,Somewhat,No,Rarely,Family,Physical visit,No,2,Maybe
18-24,Expat – Arab,Retired,"20,000–40,000",25517,Investor,Very likely,"1,000,000–2,000,000",1694536,Villa/Townhouse,"Arabian Ranches,Dubai Marina",Rental income,"Agents,Property portals,Friends/Family",Somewhat important,"Community amenities,Mortgage eligibility,Developer reputation",Gym,2–4 weeks,"Fake listings,Too many listings,Poor agent response",No,No,Maybe,Rarely,Friends,Physical visit,Maybe,5,No
45-54,Expat – Asian,Employed,"Below 10,000",6290,First-time buyer,Neutral,"1,000,000–2,000,000",1155299,Apartment,"Other,Dubai Marina,Downtown Dubai",Flip/Resell,Property portals,Neutral,"Community amenities,Developer reputation,Location",Swimming pool,1–3 months,"Fake listings,Lack of analytics/data,Poor agent response",Yes,Somewhat,No,Weekly,Agent,Online photos only,Maybe,4,Maybe
35-44,Expat – Asian,Self-employed,"Below 10,000",7329,Investor,Unlikely,"Below 500,000",344050,Land,"Business Bay,Palm Jumeirah",Self-use,"Property portals,Friends/Family",Somewhat important,"Rental yield,Price per sq.ft","Security,Other,Parking,Gym",1–3 months,"Fake listings,Too many listings,Lack of analytics/data",No,Somewhat,No,Rarely,Agent,Physical visit,No,3,Yes
18-24,UAE National,Business owner,"10,000–20,000",16226,Investor,Likely,"2,000,000–5,000,000",2709036,Commercial,"Dubai Marina,Business Bay,Other",Rental income,Friends/Family,Very important,"Resale value,Rental yield,Developer reputation","Swimming pool,Parking,Security,Close to metro",2–4 weeks,Lack of analytics/data,No,Yes,Yes,Rarely,Friends,Online photos only,No,3,Yes
25-34,Expat – Arab,Employed,"20,000–40,000",24078,First-time buyer,Likely,"2,000,000–5,000,000",2051468,Apartment,"Business Bay,Dubai Marina",Rental income,"Property portals,Agents",Neutral,"Resale value,Price per sq.ft,Location","Shopping mall,Swimming pool,Security",1–2 weeks,"Poor agent response,Lack of analytics/data,Not enough info on returns",Yes,Somewhat,Yes,Daily,Family,Virtual tour,Maybe,3,Maybe
25-34,Expat – Asian,Self-employed,"20,000–40,000",25644,Agent,Likely,"2,000,000–5,000,000",3574043,Commercial,Downtown Dubai,Self-use,"Agents,Property portals,Other",Very important,"Price per sq.ft,Rental yield","Close to metro,Swimming pool,Parking,School nearby",1–3 months,Fake listings,No,No,No,Weekly,Agent,Physical visit,Maybe,2,Maybe
35-44,Expat – Asian,Student,"20,000–40,000",29749,Agent,Likely,"1,000,000–2,000,000",1296939,Villa/Townhouse,Business Bay,Flip/Resell,"Agents,Friends/Family,Property portals",Somewhat important,"Other,Resale value,Location","Parking,Other,Swimming pool,School nearby",Less than 1 week,"Too many listings,Other,Confusing legal process",Yes,Somewhat,Maybe,Weekly,Family,Physical visit,No,3,No
18-24,Expat – Asian,Business owner,"Below 10,000",6396,First-time buyer,Very likely,"1,000,000–2,000,000",1148756,Commercial,"Jumeirah Village Circle,Downtown Dubai,Arabian Ranches",Self-use,"Property portals,Company recommendations",Very important,"Community amenities,Mortgage eligibility,Developer reputation","Security,Parking,School nearby,Shopping mall",Less than 1 week,"Fake listings,Other",No,No,No,Monthly,Agent,Virtual tour,Maybe,3,Yes
18-24,Expat – Asian,Employed,"10,000–20,000",14019,Investor,Neutral,"1,000,000–2,000,000",1221855,Villa/Townhouse,"Other,Business Bay,Jumeirah Village Circle",Rental income,"Other,Social media,Property portals",Very important,"Mortgage eligibility,Community amenities,Location","Security,Swimming pool,Close to metro,Parking",1–3 months,"Lack of analytics/data,Too many listings",No,Somewhat,No,Daily,Self,Virtual tour,Yes,4,Maybe
25-34,Expat – Asian,Retired,"Below 10,000",6060,First-time buyer,Unlikely,"2,000,000–5,000,000",3312781,Commercial,Dubai Marina,Rental income,"Friends/Family,Company recommendations,Property portals",Very important,"Resale value,Community amenities,Rental yield","Gym,School nearby,Swimming pool,Parking",2–4 weeks,"Too many listings,Confusing legal process,Fake listings",No,Somewhat,Maybe,Daily,Self,Virtual tour,Yes,3,Maybe
25-34,Expat – Western,Employed,"60,000+",84369,Other,Likely,"2,000,000–5,000,000",3253464,Commercial,Downtown Dubai,Self-use,"Friends/Family,Property portals,Agents",Somewhat important,"Resale value,Location","Swimming pool,School nearby",1–3 months,"Poor agent response,Lack of analytics/data,Other",Yes,No,Yes,Daily,Self,Online photos only,No,2,Yes
25-34,Expat – Arab,Employed,"10,000–20,000",16016,Investor,Likely,"Below 500,000",460910,Apartment,Jumeirah Village Circle,Self-use,"Agents,Company recommendations",Very important,"Price per sq.ft,Mortgage eligibility,Rental yield","Close to metro,Parking,Swimming pool,Security",1–3 months,"Lack of analytics/data,Too many listings",No,No,Maybe,Monthly,Family,Physical visit,Yes,2,No
25-34,GCC National,Employed,"10,000–20,000",11698,Renter,Unlikely,"5,000,000+",8268765,Apartment,"Jumeirah Village Circle,Palm Jumeirah,Dubai Marina",Flip/Resell,Company recommendations,Very important,"Location,Community amenities","Close to metro,Parking,Security",2–4 weeks,"Lack of analytics/data,Confusing legal process",No,Somewhat,Yes,Rarely,Friends,Physical visit,Maybe,3,No
25-34,Expat – Asian,Homemaker,"20,000–40,000",20686,First-time buyer,Neutral,"500,000–1,000,000",861912,Apartment,Downtown Dubai,Self-use,"Friends/Family,Property portals,Other",Somewhat important,"Rental yield,Community amenities",Swimming pool,2–4 weeks,"Fake listings,Poor agent response",No,No,No,Monthly,Online reviews,Physical visit,No,2,Yes
18-24,Expat – Asian,Employed,"Below 10,000",9522,Investor,Likely,"Below 500,000",467447,Apartment,Jumeirah Village Circle,Self-use,Property portals,Neutral,"Community amenities,Mortgage eligibility","Parking,Swimming pool,Security,School nearby",1–3 months,"Other,Too many listings",Yes,No,No,Daily,Self,Physical visit,Yes,2,No
35-44,Expat – Arab,Employed,"20,000–40,000",21602,Investor,Very likely,"2,000,000–5,000,000",1488807,Apartment,Other,Self-use,"Property portals,Social media",Somewhat important,"Mortgage eligibility,Community amenities","Other,Gym",2–4 weeks,"Lack of analytics/data,Poor agent response,Not enough info on returns",No,Somewhat,No,Weekly,Friends,Online photos only,Yes,5,Maybe
45-54,Expat – Western,Employed,"Below 10,000",7966,Investor,Likely,"500,000–1,000,000",1024772,Commercial,"Jumeirah Village Circle,Other",Self-use,"Property portals,Friends/Family,Agents",Not very important,"Price per sq.ft,Location","Shopping mall,Parking",1–2 weeks,"Lack of analytics/data,Poor agent response,Other",No,No,No,Rarely,Self,Agent video call,Yes,1,Yes
18-24,Expat – Asian,Employed,"10,000–20,000",18856,Renter,Unlikely,"5,000,000+",7877097,Commercial,"Downtown Dubai,Other,Business Bay",Self-use,"Social media,Agents,Property portals",Neutral,"Rental yield,Community amenities",Swimming pool,1–3 months,Poor agent response,No,No,No,Rarely,Family,Virtual tour,Yes,4,Yes
25-34,Expat – Asian,Self-employed,"10,000–20,000",11767,Renter,Neutral,"500,000–1,000,000",860570,Villa/Townhouse,"Dubai Marina,Palm Jumeirah,Arabian Ranches",Self-use,"Agents,Property portals,Social media",Neutral,"Community amenities,Price per sq.ft,Location","Security,Other,Close to metro,Gym",More than 3 months,"Fake listings,Not enough info on returns,Lack of analytics/data",No,Yes,No,Rarely,Social media influencers,Online photos only,No,4,No
25-34,UAE National,Employed,"10,000–20,000",15312,Renter,Likely,"Below 500,000",345919,Apartment,"Dubai Marina,Downtown Dubai,Jumeirah Village Circle",Flip/Resell,"Agents,Social media,Property portals",Somewhat important,"Other,Community amenities,Resale value","Close to metro,Gym,School nearby,Shopping mall",2–4 weeks,"Other,Lack of analytics/data,Confusing legal process",No,No,Yes,Weekly,Agent,Virtual tour,Maybe,5,Maybe
25-34,GCC National,Self-employed,"20,000–40,000",28777,Renter,Likely,"Below 500,000",623900,Apartment,Arabian Ranches,Rental income,"Property portals,Social media",Somewhat important,"Price per sq.ft,Developer reputation,Rental yield",Gym,1–3 months,"Lack of analytics/data,Poor agent response,Fake listings",No,Somewhat,No,Weekly,Family,Agent video call,No,4,No
18-24,GCC National,Employed,"40,000–60,000",56669,Investor,Unlikely,"Below 500,000",394185,Villa/Townhouse,"Business Bay,Other",Rental income,"Agents,Property portals,Social media",Very important,"Rental yield,Resale value,Community amenities","Parking,Shopping mall,Security",1–3 months,Confusing legal process,No,Somewhat,Yes,Daily,Agent,Agent video call,No,4,No
25-34,Expat – Arab,Employed,"Below 10,000",8392,First-time buyer,Unlikely,"500,000–1,000,000",676391,Villa/Townhouse,Jumeirah Village Circle,Rental income,Property portals,Very important,"Price per sq.ft,Location","Shopping mall,Security,Swimming pool,Gym",More than 3 months,"Lack of analytics/data,Not enough info on returns",Yes,No,No,Daily,Friends,Agent video call,Maybe,3,Maybe
35-44,Expat – Asian,Employed,"20,000–40,000",21504,First-time buyer,Very unlikely,"1,000,000–2,000,000",1073955,Apartment,"Dubai Marina,Business Bay",Self-use,"Agents,Friends/Family",Neutral,"Location,Price per sq.ft","Shopping mall,Swimming pool,Parking,Gym",1–3 months,"Lack of analytics/data,Not enough info on returns",No,Somewhat,Yes,Monthly,Family,Physical visit,Maybe,3,Yes
35-44,Other,Homemaker,"20,000–40,000",24894,Investor,Very unlikely,"Below 500,000",261731,Apartment,"Arabian Ranches,Jumeirah Village Circle,Dubai Marina",Vacation home,"Agents,Property portals",Very important,"Rental yield,Price per sq.ft,Location","Close to metro,School nearby,Security",1–3 months,"Lack of analytics/data,Too many listings",No,Somewhat,Maybe,Monthly,Family,Agent video call,No,3,Maybe
25-34,Expat – Arab,Employed,"Below 10,000",7827,Renter,Very unlikely,"500,000–1,000,000",914240,Apartment,"Other,Dubai Marina",Rental income,"Agents,Company recommendations,Friends/Family",Somewhat important,"Rental yield,Location",Swimming pool,1–3 months,Not enough info on returns,Yes,No,No,Daily,Family,Agent video call,Maybe,1,Maybe
18-24,Expat – Western,Employed,"10,000–20,000",9323,Renter,Neutral,"500,000–1,000,000",896004,Villa/Townhouse,"Dubai Marina,Downtown Dubai,Palm Jumeirah",Rental income,Company recommendations,Neutral,"Location,Mortgage eligibility,Resale value","Security,Shopping mall",1–3 months,Fake listings,No,Somewhat,No,Monthly,Family,Physical visit,Yes,5,Maybe
25-34,Expat – Asian,Self-employed,"10,000–20,000",14991,Investor,Unlikely,"1,000,000–2,000,000",1321968,Villa/Townhouse,Dubai Marina,Self-use,"Property portals,Social media",Very important,"Community amenities,Price per sq.ft","Parking,Security",More than 3 months,"Confusing legal process,Too many listings,Lack of analytics/data",Yes,No,No,Monthly,Family,Online photos only,No,5,Maybe
25-34,Expat – Asian,Business owner,"20,000–40,000",34785,Investor,Neutral,"500,000–1,000,000",752325,Villa/Townhouse,"Downtown Dubai,Arabian Ranches",Self-use,Friends/Family,Somewhat important,"Price per sq.ft,Developer reputation,Location",Shopping mall,1–3 months,Confusing legal process,Yes,Somewhat,No,Monthly,Self,Physical visit,No,5,No
18-24,Expat – Western,Employed,"60,000+",98919,Agent,Very likely,"500,000–1,000,000",602362,Apartment,"Jumeirah Village Circle,Palm Jumeirah",Self-use,Property portals,Not very important,"Price per sq.ft,Other,Rental yield",Other,Less than 1 week,"Too many listings,Lack of analytics/data",No,No,Maybe,Never,Agent,Physical visit,No,3,Yes
18-24,Expat – Asian,Employed,"10,000–20,000",13490,Investor,Likely,"500,000–1,000,000",969939,Villa/Townhouse,Jumeirah Village Circle,Rental income,Agents,Somewhat important,"Mortgage eligibility,Resale value",Shopping mall,1–2 weeks,Fake listings,No,Somewhat,No,Weekly,Social media influencers,Virtual tour,Yes,4,Yes
45-54,GCC National,Employed,"20,000–40,000",26377,Other,Unlikely,"1,000,000–2,000,000",1424185,Commercial,"Downtown Dubai,Dubai Marina,Jumeirah Village Circle",Rental income,Property portals,Somewhat important,"Developer reputation,Community amenities","Gym,Parking,Swimming pool",1–2 weeks,Too many listings,No,Somewhat,No,Daily,Family,Physical visit,No,4,Maybe
25-34,Expat – Asian,Student,"10,000–20,000",12820,Investor,Very likely,"2,000,000–5,000,000",4166022,Apartment,"Palm Jumeirah,Downtown Dubai,Arabian Ranches",Self-use,Social media,Not at all important,"Location,Resale value,Rental yield",Gym,2–4 weeks,"Poor agent response,Fake listings",No,Somewhat,Maybe,Monthly,Online reviews,Online photos only,Yes,3,Yes
45-54,UAE National,Self-employed,"20,000–40,000",25571,Investor,Unlikely,"1,000,000–2,000,000",1053396,Villa/Townhouse,Business Bay,Flip/Resell,"Agents,Company recommendations,Property portals",Somewhat important,"Price per sq.ft,Community amenities",Swimming pool,2–4 weeks,"Other,Fake listings",No,Somewhat,Maybe,Rarely,Self,Physical visit,No,2,Maybe
18-24,Expat – Asian,Employed,"60,000+",82241,First-time buyer,Unlikely,"1,000,000–2,000,000",1073419,Apartment,"Palm Jumeirah,Downtown Dubai",Self-use,"Property portals,Friends/Family,Social media",Very important,"Price per sq.ft,Developer reputation,Mortgage eligibility",Gym,2–4 weeks,"Confusing legal process,Fake listings,Too many listings",No,Somewhat,Maybe,Weekly,Friends,Physical visit,Yes,3,Maybe
25-34,Expat – Asian,Homemaker,"10,000–20,000",17583,First-time buyer,Unlikely,"2,000,000–5,000,000",3493060,Villa/Townhouse,Other,Self-use,Property portals,Somewhat important,"Resale value,Community amenities",Parking,2–4 weeks,"Fake listings,Confusing legal process",No,No,Yes,Monthly,Online reviews,Physical visit,No,3,Maybe
18-24,Expat – Arab,Employed,"Below 10,000",6553,Investor,Likely,"1,000,000–2,000,000",1470010,Villa/Townhouse,"Downtown Dubai,Arabian Ranches",Rental income,"Property portals,Agents",Very important,"Resale value,Rental yield,Developer reputation","Security,Shopping mall,Parking",1–3 months,Confusing legal process,No,Somewhat,Maybe,Daily,Agent,Online photos only,No,4,Yes
18-24,Expat – Western,Self-employed,"Below 10,000",5984,Renter,Neutral,"1,000,000–2,000,000",1330629,Apartment,"Dubai Marina,Arabian Ranches",Rental income,"Friends/Family,Property portals,Company recommendations",Very important,"Price per sq.ft,Developer reputation,Rental yield","Parking,Shopping mall,Close to metro,Security",1–3 months,"Lack of analytics/data,Confusing legal process,Too many listings",Yes,No,Maybe,Daily,Self,Online photos only,Maybe,3,Maybe
45-54,Expat – Asian,Employed,"10,000–20,000",13358,Renter,Likely,"Below 500,000",359519,Land,Downtown Dubai,Rental income,"Company recommendations,Property portals",Neutral,"Developer reputation,Rental yield,Price per sq.ft",School nearby,2–4 weeks,"Lack of analytics/data,Fake listings,Not enough info on returns",Yes,No,Maybe,Rarely,Self,Physical visit,No,1,Yes
25-34,UAE National,Employed,"10,000–20,000",15472,Renter,Unlikely,"1,000,000–2,000,000",1224640,Apartment,"Palm Jumeirah,Arabian Ranches",Self-use,"Agents,Social media",Very important,"Mortgage eligibility,Rental yield","Gym,Parking",1–3 months,Lack of analytics/data,No,No,No,Monthly,Self,Virtual tour,Yes,4,Maybe
55+,Other,Employed,"60,000+",83678,Other,Very unlikely,"1,000,000–2,000,000",1397943,Villa/Townhouse,"Palm Jumeirah,Downtown Dubai,Jumeirah Village Circle",Self-use,Agents,Very important,"Location,Rental yield",Shopping mall,2–4 weeks,Not enough info on returns,No,Somewhat,No,Daily,Online reviews,Physical visit,No,4,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",11756,Investor,Likely,"5,000,000+",8372915,Commercial,"Business Bay,Arabian Ranches",Self-use,"Social media,Agents,Property portals",Not at all important,"Developer reputation,Price per sq.ft,Location","Other,Parking",2–4 weeks,Too many listings,Yes,Somewhat,Yes,Weekly,Online reviews,Online photos only,Maybe,3,Maybe
